home/name,away/name,home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home_result,season
Wolverhampton Wanderers,Liverpool,38533,94147,107613,151589,,,87835,171317,114128,19624.0,,247632,102057.0,159533.0,116535,171287,97032,122798,169187.0,41733,56979,81880,,,92217,110979.0,118748.0,lose,2019/20
Chelsea,Arsenal,109745,102380,135363,41328,109533.0,,85955,116594,91651,,,47431,173879.0,209046.0,80201,98745,69140,41270,223340.0,37605,444145,198849,195735.0,84450.0,59966,,,draw,2019/20
Crystal Palace,Southampton,40836,19419,49413,58786,173954.0,,55037,80146,82403,50471.0,50472.0,66838,,,58376,58822,40146,93100,88900.0,101178,83283,91047,132015.0,,20452,220598.0,,lose,2019/20
Tottenham Hotspur,Norwich City,37915,55605,39194,184349,80226.0,,85971,157668,62974,200826.0,108823.0,95715,,,20480,232980,113564,83428,192303.0,76306,193111,78607,139110.0,18665.0,57127,,,win,2019/20
Bournemouth,Aston Villa,225321,15149,126184,54469,171129.0,,40387,152551,168991,,,75115,153682.0,90105.0,8432,199798,149484,123354,,203368,169359,230046,184704.0,,114283,217487.0,193488.0,win,2019/20
Burnley,Arsenal,98747,68983,103914,17761,51927.0,,40145,433154,83314,60551.0,,44683,60689.0,,80201,98745,69140,41270,223340.0,37605,444145,54694,242166.0,84450.0,59966,,,draw,2019/20
Crystal Palace,Sheffield United,40836,19419,55494,74230,49413.0,,66975,80146,82403,50471.0,50472.0,54861,,,172649,146610,40386,108416,,82691,63426,47247,207189.0,79934.0,169432,18867.0,,lose,2019/20
Leicester City,Chelsea,17745,172850,218031,37642,111931.0,,201666,166989,172780,168580.0,197469.0,101668,,,20310,102380,135363,225796,41328.0,85955,116594,49579,184341.0,209046.0,173879,,,draw,2019/20
Liverpool,Southampton,116535,171287,97032,122798,169187.0,,116643,41733,56979,,,92217,118748.0,81880.0,58376,40146,88900,101178,171771.0,78056,83283,431131,132015.0,,20452,84939.0,,win,2019/20
Manchester United,Wolverhampton Wanderers,51940,184667,95658,106760,214590.0,,141746,43670,156689,101582.0,200617.0,148225,,,38533,90585,94147,107613,,87835,171317,114128,19624.0,,102057,194634.0,159533.0,draw,2019/20
Newcastle United,Norwich City,67089,58845,101148,56983,57145.0,151119.0,170137,153127,179018,126407.0,,180974,,,20480,232980,113564,83428,192303.0,76306,193111,78607,139110.0,18665.0,57127,,,draw,2019/20
Tottenham Hotspur,Manchester City,37915,55605,173904,80226,199584.0,,85971,157668,200826,108823.0,194252.0,95715,,,121160,58621,206325,27789,57410.0,59859,220566,61366,,,103955,37572.0,103025.0,win,2019/20
Watford,Everton,9089,20145,155651,41338,85624.0,,94924,89085,121599,38439.0,61566.0,41725,,,111234,194164,101188,164511,102747.0,41823,55422,20467,153133.0,,212319,177815.0,,lose,2019/20
West Ham United,Brighton and Hove Albion,37096,55459,40669,219924,81012.0,,57531,18987,18073,215439.0,204480.0,103123,,,131897,110735,83299,86153,209362.0,40845,116216,60307,74471.0,66242.0,20529,,,draw,2019/20
Arsenal,Newcastle United,80201,98745,69140,41270,223340.0,,182539,37605,54694,195735.0,84450.0,205533,,,67089,58845,101148,57145,116543.0,170137,179018,180135,126407.0,,180974,,,win,2019/20
Aston Villa,Tottenham Hotspur,8432,199798,108156,123354,,,203368,169359,61603,230046.0,,114283,217487.0,193488.0,37915,55605,173904,80226,115556.0,157668,93264,108823,194252.0,95715.0,85971,,,lose,2019/20
Brighton and Hove Albion,Watford,131897,61933,83299,74375,78916.0,,109345,116216,60307,74471.0,66242.0,20529,,,9089,20145,155651,41338,85624.0,94924,121599,108413,38439.0,61566.0,41725,,,draw,2019/20
Chelsea,Manchester United,20310,102380,135363,225796,41328.0,,85955,116594,91651,,,47431,49579.0,94245.0,51940,197365,95658,106760,,101582,214590,62398,232937.0,,141746,148225.0,200617.0,lose,2019/20
Everton,Crystal Palace,111234,106611,101188,164511,59949.0,,55422,20467,42774,100649.0,,212319,177815.0,,40836,19419,55494,74230,49413.0,66975,80146,82403,50471.0,50472.0,54861,,,win,2019/20
Manchester City,West Ham United,121160,58621,146941,102826,57410.0,,220566,61366,20664,,,205651,37572.0,165809.0,37096,55459,40669,219924,81012.0,18073,215439,204480,,,57531,18987.0,,win,2019/20
Norwich City,Liverpool,20480,232980,113564,83428,192303.0,,76306,193111,78607,139110.0,18665.0,57127,,,116535,171287,97032,122798,169187.0,41733,175592,56979,,,92217,118748.0,81880.0,lose,2019/20
Sheffield United,Bournemouth,172649,146610,40386,108416,,,82691,63426,47247,207189.0,79934.0,169432,18867.0,,225321,15149,126184,54469,171129.0,40387,15237,153682,90105.0,168991.0,75115,,,win,2019/20
Southampton,Burnley,58376,40146,93100,88900,158534.0,,101178,91047,128198,132015.0,,20452,84939.0,,98747,103914,17761,51927,17997.0,40145,433154,83314,60551.0,,60689,44683.0,,lose,2019/20
Wolverhampton Wanderers,Leicester City,38533,90585,94147,107613,,,87835,171317,114128,151589.0,,247632,102057.0,194634.0,17745,172850,218031,37642,111931.0,201666,166989,172780,168580.0,197469.0,101668,,,draw,2019/20
Arsenal,Everton,80201,98745,69140,41270,111457.0,,182539,37605,54694,195735.0,84450.0,205533,,,111234,194164,12745,164511,102747.0,41823,55422,153133,42774.0,,212319,177815.0,,win,2019/20
Burnley,Bournemouth,98747,103914,17761,51927,17997.0,,40145,433154,83314,60551.0,,44683,81183.0,,225321,15149,56917,54469,154131.0,40387,15237,168991,,,75115,153682.0,78007.0,win,2019/20
Chelsea,Tottenham Hotspur,20310,102380,135363,41328,,,82263,85955,91651,225796.0,,88894,44346.0,184341.0,37915,55605,39194,173904,199584.0,157668,200826,95715,231372.0,,194252,,,win,2019/20
Crystal Palace,Newcastle United,40836,19419,55494,74230,19188.0,,55037,50471,50472,,,80146,82403.0,54861.0,67089,119471,101148,57145,116543.0,170137,179018,180135,126407.0,,180974,,,win,2019/20
Leicester City,Manchester City,17745,218031,37642,37402,,,172850,166989,172780,111931.0,106837.0,101668,173515.0,,121160,58621,146941,102826,27789.0,59859,220566,61366,,,37572,165809.0,103025.0,lose,2019/20
Liverpool,West Ham United,116535,171287,97032,122798,169187.0,,116643,41733,175592,,,92217,110979.0,118748.0,37096,55459,40669,219924,232391.0,101537,18987,18073,215439.0,204480.0,57531,,,win,2019/20
Manchester United,Watford,51940,184667,95658,106760,214590.0,,141746,220688,101582,200617.0,62398.0,148225,,,9089,60232,155651,41338,85624.0,94924,121599,108413,38439.0,61566.0,41725,,,win,2019/20
Sheffield United,Brighton and Hove Albion,172649,146610,40386,108416,,,82691,63426,47247,207189.0,79934.0,169432,18867.0,,131897,61933,110735,83299,74375.0,227127,74471,66242,,,115382,20529.0,,draw,2019/20
Southampton,Aston Villa,58376,40146,88900,101178,171771.0,,214466,91047,431131,132015.0,,20452,84939.0,,8432,199798,149484,123354,,203368,169359,230046,184704.0,,114283,217487.0,193488.0,win,2019/20
Bournemouth,Chelsea,225321,56917,126184,54469,154131.0,,155408,152551,168991,,,75115,90105.0,78007.0,20310,135363,194794,41328,,82263,85955,91651,225796.0,,49579,44346.0,184341.0,draw,2019/20
Manchester City,Arsenal,121160,58621,146941,102826,432656.0,,59859,61366,20664,,,103955,205651.0,103025.0,80201,98745,192895,69140,92371.0,54694,200089,242166,84450.0,223340.0,205533,,,win,2019/20
Brighton and Hove Albion,Crystal Palace,131897,110735,83299,86153,78916.0,,109345,227127,116216,74471.0,66242.0,115382,,,40836,19419,55494,74230,19188.0,55037,80146,82403,50471.0,50472.0,54861,,,lose,2019/20
Aston Villa,Sheffield United,98770,169359,199798,149484,123354.0,,230046,122806,85242,,,114283,193488.0,221239.0,172649,40386,108416,83427,,82691,63426,153723,207189.0,79934.0,169432,18867.0,,draw,2019/20
Watford,Liverpool,9089,155651,41338,54484,85624.0,,94924,121599,108413,232185.0,38439.0,41725,,,116535,97032,38454,122798,169187.0,116643,41733,81880,,,92217,110979.0,118748.0,win,2019/20
Newcastle United,Burnley,67089,101148,57145,109528,38290.0,,180974,50232,56983,153127.0,,179018,104547.0,,98747,103914,17761,51927,17997.0,40145,433154,83314,60551.0,,44683,81183.0,,draw,2019/20
Wolverhampton Wanderers,Norwich City,38533,90585,94147,107613,,,87835,171317,114128,19624.0,151589.0,102057,194634.0,,20480,232980,198826,83428,194799.0,76306,193111,78607,139110.0,18665.0,57127,,,win,2019/20
Tottenham Hotspur,Wolverhampton Wanderers,102884,173904,93264,199584,,,157668,200826,80226,115556.0,,108823,194252.0,95715.0,38533,90585,94147,107613,,87835,171317,19624,216054.0,,102057,194634.0,159533.0,lose,2019/20
Norwich City,Leicester City,20480,232980,198826,83428,194799.0,,193111,195546,78607,139110.0,18665.0,57127,,,17745,172850,218031,37642,111931.0,201666,172780,168580,106837.0,197469.0,173515,,,win,2019/20
Everton,Manchester United,111234,194164,12745,106611,59949.0,,55422,20467,120250,173807.0,,212319,177815.0,,51940,184667,95658,106760,214590.0,141746,101582,62398,195851.0,,148225,220688.0,,draw,2019/20
West Ham United,Southampton,37096,55459,40669,219924,232391.0,,217593,18073,178186,204480.0,,57531,103123.0,,58376,40146,88900,101178,171771.0,214466,91047,128198,132015.0,,20452,220598.0,,win,2019/20
Arsenal,West Ham United,80201,39476,92371,41270,223340.0,,182539,37605,54694,195735.0,84450.0,205533,,,37096,55459,40669,219924,232391.0,217593,18073,178186,204480.0,,57531,103123.0,,win,2019/20
Chelsea,Everton,109745,102380,82263,103192,41328.0,,243568,88894,184341,,,47431,49579.0,44346.0,111234,194164,106611,101188,102747.0,55422,100649,120250,173807.0,,212319,177815.0,,win,2019/20
Burnley,Tottenham Hotspur,98747,103914,17761,51927,17997.0,,40145,433154,83314,60551.0,,60689,44683.0,,37915,55605,173904,93264,,39194,199584,231372,209042.0,,62974,108823.0,194252.0,draw,2019/20
Crystal Palace,Watford,40836,19419,55494,74230,19188.0,,55037,50471,50472,,,80146,82403.0,54861.0,9089,155651,41338,54484,85624.0,121599,108413,232185,38439.0,61566.0,41725,,,win,2019/20
Leicester City,Aston Villa,17745,220627,218031,37642,111931.0,,201666,172780,51938,203341.0,106837.0,173515,,,8432,203368,169359,149484,108156.0,230046,114283,85242,184704.0,37339.0,217487,,,win,2019/20
Liverpool,Bournemouth,60706,171287,97032,15157,169187.0,,116643,41733,81880,,,92217,110979.0,118748.0,225321,56917,126184,54469,154131.0,155408,152551,56872,90105.0,168991.0,75115,,,win,2019/20
Manchester United,Manchester City,51940,184667,95658,106760,,,101582,214590,62398,232937.0,,141746,148225.0,200617.0,121160,121145,206325,27789,57410.0,59859,220566,165809,,,103955,37572.0,209244.0,win,2019/20
Sheffield United,Norwich City,172649,146610,40386,108416,,,82691,63426,47247,153723.0,79934.0,169432,18867.0,,20480,232980,198826,83428,194799.0,193111,195546,78607,139110.0,18665.0,57127,,,win,2019/20
Southampton,Newcastle United,58376,40146,88900,213482,171771.0,,101178,128198,431131,132015.0,,20452,84939.0,,67089,101148,57145,109528,38290.0,50232,170137,56983,153127.0,,179018,104547.0,,lose,2019/20
Wolverhampton Wanderers,Brighton and Hove Albion,38533,90585,94147,107613,,,87835,171317,19624,216054.0,151589.0,102057,194634.0,,131897,110735,83299,86153,78916.0,227127,74471,66242,,,115382,109345.0,116216.0,draw,2019/20
Aston Villa,Chelsea,98770,169359,199798,149484,123354.0,,230046,122806,85242,,,114283,193488.0,221239.0,109745,102380,82263,135363,41328.0,116594,91651,184341,,,47431,126187.0,44346.0,lose,2019/20
Bournemouth,Crystal Palace,225321,56917,126184,54469,154131.0,,155408,111317,152551,153682.0,78007.0,75115,,,40836,19419,55494,74230,19188.0,66975,55037,50471,,,80146,82403.0,54861.0,lose,2019/20
Brighton and Hove Albion,Arsenal,131897,110735,83299,74375,78916.0,,227127,116216,60307,74471.0,66242.0,115382,,,80201,98745,156074,69140,111457.0,182539,242166,223340,,,59966,54694.0,195735.0,win,2019/20
Everton,Liverpool,111234,194164,106611,101188,59949.0,,153133,120250,232826,173807.0,,212319,177815.0,,116535,97032,15157,60914,169187.0,116643,175592,56979,,,92217,110979.0,157882.0,draw,2019/20
Norwich City,Southampton,20480,232980,198826,194799,84384.0,,193111,195546,90440,78607.0,,81048,57127.0,,58376,40146,88900,213482,171771.0,101178,83283,91047,132015.0,,84939,220598.0,,lose,2019/20
Tottenham Hotspur,Manchester United,37915,173904,93264,80226,115556.0,,85971,157668,62974,45268.0,194252.0,78830,,,51940,184667,95658,106760,214590.0,141746,176297,101582,200617.0,195851.0,148225,,,draw,2019/20
Manchester City,Burnley,121160,121145,206325,27789,57410.0,,220566,165809,20664,,,37572,103025.0,209244.0,98747,68983,103914,17761,51927.0,40145,172782,433154,60551.0,,44683,81183.0,,win,2019/20
Watford,Leicester City,9089,60232,155651,54484,85624.0,,121599,108413,232185,38439.0,61566.0,41725,,,17745,220627,172850,218031,37642.0,201666,166989,172780,51938.0,203341.0,101668,,,draw,2019/20
West Ham United,Wolverhampton Wanderers,37096,55459,219924,204480,232391.0,,217593,101537,18073,178186.0,215439.0,57531,,,38533,90585,94147,107613,,87835,171317,114128,19624.0,151589.0,102057,194634.0,,lose,2019/20
Newcastle United,Sheffield United,67089,101148,57145,109528,38290.0,,50232,170137,56983,153127.0,,180974,179018.0,,172649,40386,108416,83427,,82691,63426,47247,207189.0,79934.0,169432,18867.0,,win,2019/20
Burnley,Watford,98747,68983,103914,17761,51927.0,,40145,172782,433154,60551.0,,44683,81183.0,,9089,60232,155651,54484,85624.0,43250,108413,232185,38439.0,,41725,50175.0,,win,2019/20
Chelsea,Manchester City,109745,102380,82263,135363,41328.0,,116594,88894,184341,,,176413,47431.0,44346.0,121160,58621,146941,102826,27789.0,59859,220566,61366,,,103955,165809.0,103025.0,win,2019/20
Leicester City,Brighton and Hove Albion,17745,220627,172850,218031,37642.0,,172632,172780,86881,203341.0,,101668,173515.0,,131897,232792,110735,83299,78916.0,243016,40845,227127,74471.0,,115382,233425.0,,draw,2019/20
Liverpool,Crystal Palace,116535,171287,97032,122798,169187.0,,116643,41733,56979,,,92217,110979.0,118748.0,20066,19419,55494,74230,40784.0,55037,60252,82403,50471.0,50472.0,80146,,,win,2019/20
Manchester United,Sheffield United,51940,184667,95658,106760,214590.0,,74208,141746,176297,220688.0,62398.0,148225,,,74854,40386,7645,83427,,82691,63426,47247,153723.0,79934.0,178304,27436.0,,win,2019/20
Newcastle United,Aston Villa,67089,101148,57145,109528,38290.0,,50232,170137,56983,153127.0,,180974,179018.0,,98770,169359,199798,149484,123354.0,230046,122806,114283,,,148508,217487.0,193488.0,draw,2019/20
Norwich City,Everton,20480,232980,198826,194799,84384.0,,76306,78607,89470,139110.0,18665.0,81048,,,111234,194164,106611,101188,59949.0,153133,100649,120250,173807.0,,212319,177815.0,,lose,2019/20
Southampton,Arsenal,58376,40146,88900,213482,171771.0,,101178,83283,91047,132015.0,,84939,220598.0,,98980,192895,156074,69140,,98745,182539,84450,223340.0,,54694,195735.0,205533.0,lose,2019/20
Tottenham Hotspur,West Ham United,37915,173904,93264,80226,115556.0,,85971,45268,200826,108823.0,95715.0,78830,,,37096,55459,166640,219924,81012.0,217593,18073,178186,215439.0,204480.0,57531,,,win,2019/20
Wolverhampton Wanderers,Bournemouth,38533,90585,94147,107613,,,87835,171317,114128,19624.0,,102057,194634.0,159533.0,225321,56917,126184,54469,154131.0,155408,111317,152551,56872.0,168991.0,75115,,,win,2019/20
Arsenal,Norwich City,98980,69140,41270,111457,,,98745,192895,182539,84450.0,,59966,54694.0,200641.0,20480,232980,198826,194799,18665.0,76306,193111,195546,90440.0,78607.0,57127,,,win,2019/20
Aston Villa,Wolverhampton Wanderers,98770,169359,199798,149484,123354.0,,230046,114283,85242,184704.0,,217487,221239.0,,38533,90585,94147,107613,,87835,171317,114128,19624.0,151589.0,102057,194634.0,,lose,2019/20
Bournemouth,Newcastle United,225321,56917,126184,235530,54469.0,,111317,152551,220307,168991.0,,154566,78007.0,,67089,101148,111773,57145,109528.0,180974,50232,170137,180135.0,126407.0,104547,,,lose,2019/20
Brighton and Hove Albion,Manchester United,131897,61933,83299,86153,78916.0,,232792,40845,227127,66242.0,,243016,233425.0,,51940,184667,95658,106760,214590.0,74208,141746,176297,220688.0,62398.0,148225,,,lose,2019/20
Crystal Palace,Burnley,40836,19419,55494,74230,19188.0,,66975,55037,60252,82403.0,50471.0,80146,,,98747,103914,17761,51927,17997.0,40145,172782,60551,39487.0,,433154,81183.0,,lose,2019/20
Everton,Leicester City,111234,194164,106611,101188,59949.0,,55422,153133,120250,232826.0,,212319,177815.0,,17745,220627,172850,218031,37642.0,201666,166989,51938,203341.0,106837.0,101668,,,win,2019/20
Manchester City,Liverpool,121160,58621,146941,102826,432656.0,,103955,59859,220566,61366.0,209244.0,205651,,,116535,171287,97032,122798,169187.0,116643,41733,56979,,,92217,110979.0,118748.0,win,2019/20
Sheffield United,Tottenham Hotspur,172649,40386,108416,83427,,,82691,63426,207189,79934.0,167878.0,169432,27436.0,,37915,173904,93264,80226,115556.0,85971,45268,200826,194252.0,95715.0,78830,,,win,2019/20
Watford,Southampton,9089,60232,155651,41338,54484.0,,121599,108413,232185,38439.0,61566.0,41725,,,58376,40146,93100,158534,171771.0,214466,78056,101178,83283.0,,20452,84939.0,,lose,2019/20
West Ham United,Chelsea,37096,55459,40669,219924,81012.0,,217593,86934,178186,215439.0,204480.0,57531,,,109745,102380,82263,135363,41328.0,116594,91651,88894,,,176413,47431.0,173879.0,win,2019/20
Burnley,Sheffield United,98747,103914,17761,17997,41674.0,,172782,433154,60551,39487.0,,44683,81183.0,,172649,40386,108416,83427,,82691,63426,207189,79934.0,167878.0,169432,27436.0,,draw,2019/20
Chelsea,Watford,109745,135363,103192,225796,41328.0,,116594,88894,184341,,,176413,47431.0,44346.0,9089,60232,20145,54484,85624.0,89085,121599,108413,232185.0,38439.0,41725,,,win,2019/20
Leicester City,Crystal Palace,17745,220627,218031,37642,,,172850,166989,51938,203341.0,,101668,173515.0,168580.0,40836,19419,55494,74230,40784.0,66975,80146,82403,50471.0,173954.0,54861,,,win,2019/20
Liverpool,Aston Villa,116535,171287,97032,122798,169187.0,,116643,175592,81880,,,110979,118748.0,152760.0,8432,47390,199798,149484,123354.0,230046,122806,148508,193488.0,,114283,221239.0,,win,2019/20
Manchester United,Bournemouth,51940,184667,95658,106760,214590.0,,74208,141746,176297,220688.0,62398.0,148225,,,225321,235530,126184,54469,171129.0,155408,111317,152551,56872.0,,154566,78007.0,,win,2019/20
Newcastle United,West Ham United,67089,101148,111773,57145,109528.0,,180974,50232,170137,153127.0,179018.0,104547,,,37096,55459,40669,219924,81012.0,217593,86934,178186,215439.0,204480.0,57531,,,draw,2019/20
Norwich City,Brighton and Hove Albion,20480,232980,198826,194799,84384.0,,195546,78607,139110,89470.0,18665.0,81048,,,131897,232792,110735,83299,78916.0,227127,116216,74471,66242.0,,115382,233425.0,,lose,2019/20
Southampton,Manchester City,58376,40146,88900,158534,171771.0,,78056,101178,83283,91047.0,,84939,200439.0,,121160,121145,206325,146941,432656.0,165809,20664,27789,,,103955,205651.0,103025.0,win,2019/20
Tottenham Hotspur,Everton,37915,55605,93264,80226,115556.0,,157668,45268,200826,,,85971,78830.0,95715.0,111234,194164,106611,101188,59949.0,55422,153133,120250,173807.0,,212319,177815.0,,win,2019/20
Wolverhampton Wanderers,Arsenal,38533,90585,94147,107613,,,87835,171317,114128,19624.0,151589.0,102057,159533.0,,98980,69140,41270,111457,,192895,182539,58822,84450.0,,54694,205533.0,223340.0,lose,2019/20
Arsenal,Leicester City,98980,69140,41270,111457,,,98745,192895,182539,84450.0,,59966,54694.0,223340.0,17745,218031,37642,41727,,220627,166989,51938,203341.0,,101668,173515.0,168580.0,draw,2019/20
Aston Villa,Manchester United,8432,47390,199798,149484,123354.0,,230046,122806,148508,193488.0,,114283,217487.0,,51940,184667,95658,106760,214590.0,74208,141746,176297,220688.0,62398.0,148225,,,lose,2019/20
Bournemouth,Tottenham Hotspur,225321,126184,235530,54469,171129.0,,40387,111317,152551,56872.0,,75115,78007.0,,37915,55605,39194,80226,115556.0,157668,45268,200826,,,78830,62974.0,194252.0,draw,2019/20
Brighton and Hove Albion,Liverpool,131897,232792,110735,83299,78916.0,,243016,40845,60307,66242.0,,115382,116216.0,,116535,171287,97032,169187,215136.0,41733,175592,56979,,,92217,118748.0,81880.0,lose,2019/20
Crystal Palace,Chelsea,40836,19419,55494,74230,19188.0,,66975,55037,80146,82403.0,50471.0,54861,,,109745,135363,103192,225796,41328.0,243568,88894,184341,,,176413,47431.0,44346.0,lose,2019/20
Everton,Southampton,111234,106611,101188,164511,59949.0,,153133,120250,232826,173807.0,,212319,177815.0,,58376,40146,88900,158534,171771.0,78056,101178,83283,91047.0,,84939,200439.0,,draw,2019/20
Manchester City,Newcastle United,121160,97299,121145,206325,57410.0,,220566,61366,20664,,,205651,103025.0,209244.0,67089,111773,57145,151119,38290.0,119471,56983,116543,126407.0,,180974,50232.0,,win,2019/20
Sheffield United,Wolverhampton Wanderers,172649,146610,40386,108416,,,82691,63426,207189,79934.0,167878.0,169432,18867.0,,38533,90585,94147,107613,,87835,171317,114128,19624.0,,102057,194634.0,159533.0,win,2019/20
Watford,Norwich City,9089,60232,155651,54484,85624.0,,121599,108413,232185,38439.0,50175.0,41725,,,20480,232980,198826,194799,84384.0,37614,195546,71738,89470.0,18665.0,57127,,,win,2019/20
West Ham United,Burnley,37096,55459,40669,219924,81012.0,,56377,217593,178186,215439.0,204480.0,57531,,,98747,103914,17761,17997,41674.0,172782,433154,60551,39487.0,,44683,81183.0,,lose,2019/20
Aston Villa,Crystal Palace,8432,47390,199798,149484,37339.0,,230046,122806,85242,,,114283,148508.0,217487.0,40836,55494,74230,19188,40784.0,66975,55037,80146,82403.0,50471.0,54861,,,win,2019/20
Bournemouth,Leicester City,225321,235530,126184,154131,171129.0,,40387,111317,152551,220307.0,,154566,75115.0,,17745,220627,218031,37642,,166989,51938,203341,37402.0,,101668,173515.0,168580.0,win,2019/20
Brighton and Hove Albion,Manchester City,131897,110735,83299,86153,209362.0,,227127,116216,74471,66242.0,,60307,233425.0,,121160,58621,146941,102826,432656.0,220566,61366,165809,,,103955,205651.0,103025.0,lose,2019/20
Liverpool,Burnley,116535,171287,97032,122798,215136.0,,116643,41733,206915,,,92217,110979.0,118748.0,98747,103914,17761,17997,41674.0,172782,433154,60551,39487.0,,60689,44683.0,,draw,2019/20
Manchester United,Southampton,51940,184667,95658,106760,214590.0,,74208,141746,176297,220688.0,62398.0,148225,,,58376,40146,88900,158534,171771.0,78056,101178,83283,91047.0,,84939,200439.0,,draw,2019/20
Norwich City,West Ham United,20480,232980,198826,194799,84384.0,,37614,195546,71738,89470.0,18665.0,57127,,,37096,55459,40669,219924,81012.0,217593,18073,178186,215439.0,204480.0,57531,,,lose,2019/20
Sheffield United,Chelsea,172649,146610,40386,108416,,,82691,63426,207189,79934.0,167878.0,169432,27436.0,,109745,135363,103192,225796,41328.0,85955,88894,184341,,,176413,47431.0,173879.0,win,2019/20
Tottenham Hotspur,Arsenal,37915,55605,173904,80226,115556.0,,157668,45268,200826,95715.0,,85971,78830.0,,98980,69140,41270,111457,,98745,192895,182539,84450.0,,59966,54694.0,195735.0,win,2019/20
Watford,Newcastle United,9089,60232,155651,54484,85624.0,,121599,108413,232185,38439.0,50175.0,41725,,,67089,101148,57145,109528,38290.0,119471,50232,170137,56983.0,,179018,104547.0,,win,2019/20
Wolverhampton Wanderers,Everton,38533,90585,94147,107613,,,87835,171317,114128,151589.0,,247632,102057.0,200600.0,111234,106611,101188,164511,,12745,55422,20467,232826.0,173807.0,212319,177815.0,,win,2019/20
Arsenal,Liverpool,98980,192895,156074,41270,,,198849,58822,84450,223340.0,,59966,195735.0,200641.0,116535,171287,97032,122798,169187.0,116643,41733,81880,,,92217,110979.0,118748.0,win,2019/20
Burnley,Wolverhampton Wanderers,98747,103914,17761,17997,41674.0,,172782,433154,60551,39487.0,,44683,60689.0,,38533,90585,94147,107613,,171317,19624,216054,159533.0,,102057,200600.0,194634.0,draw,2019/20
Chelsea,Norwich City,109745,102380,82263,103192,41328.0,,85955,91651,126187,,,176413,47431.0,44346.0,20480,232980,198826,194799,84384.0,76306,193111,78607,89470.0,18665.0,81048,,,win,2019/20
Crystal Palace,Manchester United,40836,55494,74230,19188,40784.0,,66975,60252,50471,50472.0,,80146,82403.0,,51940,184667,95658,201084,214590.0,74208,141746,176297,220688.0,195851.0,148225,,,lose,2019/20
Everton,Aston Villa,111234,194164,106611,101188,59949.0,,153133,100649,120250,173807.0,,212319,177815.0,,8432,169359,199798,149484,37339.0,230046,122806,85242,,,114283,148508.0,217487.0,draw,2019/20
Leicester City,Sheffield United,17745,15033,37642,41727,,,220627,166989,203341,244619.0,,201666,101668.0,168580.0,172649,146610,40386,108416,,82691,63426,207189,79934.0,167878.0,169432,27436.0,,win,2019/20
Manchester City,Bournemouth,121160,58621,97299,102826,57410.0,,59859,165809,20664,27789.0,209244.0,205651,,,225321,56917,235530,154131,171129.0,40387,152551,56872,78007.0,168991.0,154566,,,win,2019/20
Newcastle United,Tottenham Hotspur,67089,119471,56983,111773,57145.0,151119.0,50232,179018,126407,,,170137,104547.0,,37915,55605,173904,80226,115556.0,157668,45268,200826,,,85971,78830.0,95715.0,lose,2019/20
Southampton,Brighton and Hove Albion,58376,93100,132015,171771,214470.0,,214466,78056,101178,83283.0,,84939,220598.0,,131897,110735,83299,78916,,232792,40845,109345,66242.0,,115382,116216.0,20529.0,draw,2019/20
West Ham United,Watford,37096,55459,40669,219924,222018.0,,217593,18073,178186,215439.0,204480.0,57531,,,9089,60232,155651,54484,85624.0,43250,121599,108413,232185.0,50175.0,41725,,,win,2019/20
Aston Villa,Arsenal,8432,169359,199798,149484,37339.0,,230046,122806,85242,,,114283,148508.0,217487.0,98980,156074,41270,111457,,182539,198849,58822,223340.0,,59966,54694.0,205533.0,win,2019/20
Bournemouth,Southampton,225321,56917,235530,154131,171129.0,,111317,152551,56872,168991.0,,75115,78007.0,,58376,40146,93100,88900,158534.0,78056,101178,83283,91047.0,,20452,84939.0,,lose,2019/20
Brighton and Hove Albion,Newcastle United,131897,232792,110735,83299,78916.0,,40845,227127,116216,60307.0,74471.0,115382,,,67089,111773,57145,38290,,50232,56983,109528,179018.0,126407.0,170137,104547.0,,draw,2019/20
Liverpool,Chelsea,116535,171287,97032,122798,169187.0,,116643,41733,175592,,,92217,110979.0,118748.0,109745,102380,103192,41328,,82263,85955,91651,225796.0,,47431,44346.0,184341.0,win,2019/20
Manchester United,West Ham United,51940,184667,95658,201084,232937.0,,74208,141746,176297,220688.0,62398.0,148225,,,37096,55459,40669,219924,222018.0,217593,18073,178186,215439.0,204480.0,57531,,,draw,2019/20
Norwich City,Burnley,20480,232980,198826,194799,84384.0,,193111,195546,78607,89470.0,18665.0,81048,,,98747,17761,39487,17997,41674.0,60586,172782,433154,60551.0,,44683,60689.0,,lose,2019/20
Sheffield United,Everton,172649,146610,40386,108416,,,82691,63426,207189,79934.0,167878.0,169432,27436.0,,111234,106611,101188,102747,480455.0,212319,55422,20467,120250.0,173807.0,177815,,,lose,2019/20
Tottenham Hotspur,Leicester City,37915,55605,173904,80226,115556.0,,85971,157668,45268,200826.0,95715.0,78830,,,17745,15033,37642,41727,,220627,166989,203341,244619.0,,201666,101668.0,168580.0,win,2019/20
