home/name,away/name,home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home_result,season
Watford,West Ham United,9089,60232,41338,54484,40868.0,,43250,121599,108413,38439.0,,94924,73426.0,,37096,40669,219924,81012,105717.0,56377,101537,86934,18073.0,204480.0,103123,,,lose,2019/20
Wolverhampton Wanderers,Burnley,38533,41727,90585,94147,,,87835,171317,222531,114128.0,19624.0,102057,194634.0,,98747,68983,17761,51927,39487.0,40145,60586,433154,60551.0,,60689,44699.0,,draw,2019/20
Arsenal,Tottenham Hotspur,80201,39476,154043,41270,111457.0,,198849,242166,84450,,,59966,54694.0,195735.0,37915,38290,55605,39194,173904.0,157668,62974,45268,80607.0,,85971,78830.0,,draw,2019/20
Burnley,Liverpool,98747,68983,17761,51927,39487.0,,40145,433154,60551,17349.0,,60689,44699.0,,60706,97032,122798,60914,169187.0,116643,41733,56979,,,92217,110979.0,118748.0,lose,2019/20
Chelsea,Sheffield United,109745,194794,103192,41328,109533.0,,85955,88894,91651,,,176413,184341.0,173879.0,172649,146610,40386,108416,,82691,63426,153723,49083.0,79934.0,169432,171975.0,,draw,2019/20
Crystal Palace,Aston Villa,40836,19419,55494,74230,58786.0,,66975,55037,50471,,,80146,82403.0,86417.0,21205,203368,47390,149484,108156.0,230046,122806,114283,,,213345,148508.0,89274.0,win,2019/20
Everton,Wolverhampton Wanderers,111234,106611,101188,164511,59949.0,,212319,41823,55422,153133.0,120250.0,242058,,,38533,41727,90585,94147,,171317,107613,216054,151589.0,159533.0,102057,209353.0,,win,2019/20
Leicester City,Bournemouth,17745,172850,218031,37642,111931.0,,201666,166989,172780,51938.0,203341.0,101668,,,225321,56917,126184,223911,54469.0,152551,153682,90105,168991.0,,75115,78007.0,,win,2019/20
Manchester City,Brighton and Hove Albion,121160,58621,206325,146941,57410.0,,220566,61366,20664,,,103955,37572.0,103025.0,131897,110735,83299,78916,,40845,86153,66242,209362.0,,115382,109345.0,116216.0,win,2019/20
Newcastle United,Watford,67089,106618,119471,101148,92159.0,111773.0,153127,179018,104953,180135.0,,180974,,,9089,60232,41338,85624,,52940,43250,121599,54484.0,,73426,108413.0,61566.0,draw,2019/20
Southampton,Manchester United,107265,58822,93100,171771,135720.0,,78056,101178,128198,132015.0,,84939,200439.0,,51940,184667,95658,18892,214590.0,74208,43670,156689,200617.0,195851.0,176297,,,draw,2019/20
West Ham United,Norwich City,37096,40669,219924,81012,105717.0,,56377,101537,86934,18073.0,204480.0,103123,,,20480,232980,198826,192303,194799.0,87396,193111,195546,71738.0,90440.0,57127,,,win,2019/20
Aston Villa,West Ham United,21205,203368,47390,149484,108156.0,,122806,114283,184704,,,213345,193488.0,89274.0,37096,40669,219924,81012,105717.0,56377,101537,86934,18073.0,204480.0,103123,,,draw,2019/20
Bournemouth,Everton,225321,56917,126184,154131,171129.0,,155408,153682,78007,168991.0,,154566,75115.0,,111234,106611,101188,164511,59949.0,212319,41823,55422,153133.0,42774.0,177815,,,win,2019/20
Brighton and Hove Albion,Burnley,131897,61933,110735,83299,,,40845,109345,66242,78916.0,,115382,60307.0,20529.0,98747,68983,17761,51927,39487.0,40145,433154,60551,17349.0,,60689,44699.0,,draw,2019/20
Liverpool,Newcastle United,60706,97032,122798,60914,169187.0,,116643,41733,81880,,,110979,118748.0,152760.0,67089,106618,119471,101148,92159.0,50232,153127,179018,104953.0,,180974,,,win,2019/20
Manchester United,Leicester City,51940,184667,95658,18892,214590.0,,43670,156689,200617,62398.0,195851.0,176297,,,17745,172850,218031,37642,111931.0,172632,166989,172780,203341.0,197469.0,101668,,,win,2019/20
Norwich City,Manchester City,20480,113564,198826,194799,128348.0,,193111,195546,71738,78607.0,18665.0,57127,,,121160,58621,97299,206325,57410.0,103955,59859,220566,165809.0,20664.0,37572,,,win,2019/20
Sheffield United,Southampton,172649,146610,40386,108416,,,82691,63426,47247,153723.0,79934.0,169432,27436.0,,107265,80447,93100,171771,,58822,78056,431131,132015.0,,101178,200439.0,128198.0,lose,2019/20
Tottenham Hotspur,Crystal Palace,37915,38290,55605,39194,80226.0,,157668,62974,45268,80607.0,,85971,78830.0,,40836,19419,55494,74230,40784.0,66975,55037,60252,82403.0,86417.0,80146,,,win,2019/20
Watford,Arsenal,9089,60232,54484,40868,85624.0,,94924,43250,121599,108413.0,38439.0,73426,,,80201,39476,154043,41270,111457.0,182539,37605,242166,84450.0,,54694,195735.0,,draw,2019/20
Wolverhampton Wanderers,Chelsea,38533,178876,94147,107613,,,171317,114128,19624,151589.0,159533.0,102057,194634.0,,109745,102380,135363,194794,,82263,85955,91651,41328.0,,47431,184341.0,173879.0,lose,2019/20
Arsenal,Aston Villa,80201,39476,154043,41270,111457.0,,182539,195735,242166,84450.0,223340.0,54694,,,21205,203368,47390,149484,108156.0,122806,114283,184704,,,213345,148508.0,193488.0,win,2019/20
Burnley,Norwich City,98747,68983,17761,51927,39487.0,,40145,433154,83314,60551.0,,60689,44699.0,,20480,113564,198826,194799,128348.0,193111,195546,71738,78607.0,18665.0,57127,,,win,2019/20
Chelsea,Liverpool,109745,135363,194794,41328,109533.0,,85955,116594,91651,,,47431,184341.0,173879.0,60706,97032,122798,60914,169187.0,116643,41733,56979,,,92217,110979.0,118748.0,lose,2019/20
Crystal Palace,Wolverhampton Wanderers,40836,19419,55494,74230,40784.0,,66975,55037,82403,86417.0,50471.0,80146,,,38533,90585,94147,107613,,87835,114128,19624,151589.0,,102057,194634.0,159533.0,draw,2019/20
Everton,Sheffield United,111234,106611,101188,164511,59949.0,,212319,41823,55422,42774.0,100649.0,242058,,,172649,146610,40386,108416,,82691,63426,47247,153723.0,79934.0,169432,171975.0,,lose,2019/20
Leicester City,Tottenham Hotspur,17745,172850,218031,37642,111931.0,,201666,166989,172780,168580.0,203341.0,101668,,,102884,38290,55605,39194,80226.0,157668,62974,45268,231372.0,,85971,78830.0,,win,2019/20
Manchester City,Watford,121160,58621,102826,27789,57410.0,,220566,61366,20664,,,37572,165809.0,103025.0,9089,60232,20145,54484,40868.0,96767,121599,108413,38439.0,,94924,43250.0,,win,2019/20
Newcastle United,Brighton and Hove Albion,67089,106618,119471,101148,92159.0,109528.0,50232,153127,179018,104953.0,,180974,,,131897,110735,83299,78916,,40845,86153,66242,235382.0,,115382,60307.0,74471.0,draw,2019/20
Southampton,Bournemouth,107265,58822,93100,171771,135720.0,,78056,101178,128198,132015.0,,200439,83283.0,,225321,56917,126184,154131,171129.0,152551,153682,78007,168991.0,,154566,75115.0,,lose,2019/20
West Ham United,Manchester United,37096,55459,40669,219924,81012.0,,56377,101537,217593,18073.0,204480.0,103123,,,51940,184667,95658,18892,214590.0,43670,156689,200617,62398.0,195851.0,176297,,,win,2019/20
Aston Villa,Burnley,21205,203368,169359,149484,108156.0,,122806,85242,184704,,,213345,114283.0,193488.0,98747,68983,17761,51927,39487.0,40145,433154,83314,60551.0,,60689,44699.0,,draw,2019/20
Bournemouth,West Ham United,225321,56917,126184,154131,171129.0,,152551,153682,78007,168991.0,,154566,75115.0,,37096,55459,40669,219924,81012.0,56377,101537,217593,18073.0,204480.0,103123,,,draw,2019/20
Chelsea,Brighton and Hove Albion,109745,82263,135363,194794,41328.0,,85955,88894,184341,,,47431,49579.0,173879.0,131897,110735,83299,78916,,40845,60307,74471,86153.0,235382.0,115382,227127.0,,win,2019/20
Crystal Palace,Norwich City,40836,19419,55494,74230,58786.0,,66975,55037,82403,86417.0,50471.0,80146,,,28082,232980,198826,194799,128348.0,87396,193111,195546,71738.0,78607.0,57127,,,win,2019/20
Everton,Manchester City,111234,106611,101188,164511,59949.0,,212319,41823,55422,20467.0,42774.0,177815,,,121160,58621,206325,27789,57410.0,59859,220566,61366,,,103955,205651.0,103025.0,lose,2019/20
Leicester City,Newcastle United,17745,172850,218031,37642,111931.0,,201666,166989,168580,203341.0,106837.0,101668,,,67089,106618,119471,101148,111773.0,153127,179018,196118,104953.0,180135.0,180974,,,win,2019/20
Manchester United,Arsenal,51940,184667,95658,18892,180804.0,,74208,109322,156689,200617.0,195851.0,176297,,,80201,39476,101184,41270,111457.0,198849,242166,84450,,,54694,195735.0,223340.0,draw,2019/20
Sheffield United,Liverpool,172649,146610,40386,108416,,,82691,63426,47247,153723.0,79934.0,169432,171975.0,,60706,97032,122798,60914,169187.0,116643,41733,56979,,,92217,110979.0,118748.0,lose,2019/20
Tottenham Hotspur,Southampton,37915,38290,55605,39194,80226.0,,85971,157668,45268,80607.0,231372.0,78830,,,107265,80447,93100,171771,,40146,78056,101178,132015.0,,84939,83283.0,128198.0,win,2019/20
Wolverhampton Wanderers,Watford,38533,90585,94147,107613,,,87835,114128,19624,151589.0,,247632,102057.0,159533.0,9089,52940,60232,41338,40868.0,43250,121599,38439,,,94924,232185.0,50175.0,win,2019/20
Arsenal,Bournemouth,80201,39476,101184,41270,111457.0,,182539,195735,242166,84450.0,223340.0,54694,,,225321,56917,126184,154131,171129.0,152551,153682,78007,168991.0,,154566,75115.0,,win,2019/20
Brighton and Hove Albion,Tottenham Hotspur,131897,110735,83299,86153,78916.0,,40845,60307,74471,235382.0,,115382,233425.0,,37915,55605,39194,45268,115556.0,85971,62974,93264,80607.0,231372.0,78830,,,win,2019/20
Burnley,Everton,98747,68983,17761,51927,39487.0,,60586,433154,83314,60551.0,,60689,44699.0,,111234,106611,101188,164511,59949.0,212319,41823,55422,153133.0,42774.0,177815,,,win,2019/20
Liverpool,Leicester City,60706,97032,38454,122798,169187.0,,116643,41733,15157,,,92217,110979.0,118748.0,17745,172850,218031,37642,111931.0,201666,166989,172780,203341.0,106837.0,101668,,,win,2019/20
Manchester City,Wolverhampton Wanderers,121160,58621,121145,27789,57410.0,,103955,59859,220566,20664.0,103025.0,37572,,,38533,90585,94147,107613,,171317,19624,216054,151589.0,159533.0,102057,209353.0,,lose,2019/20
Newcastle United,Manchester United,67089,58845,119471,101148,92159.0,151119.0,223175,170137,179018,180135.0,,180974,,,51940,95658,18892,216051,180804.0,43670,156689,101582,200617.0,195851.0,176297,,,win,2019/20
Norwich City,Aston Villa,18499,232980,198826,194799,128348.0,,87396,193111,195546,71738.0,78607.0,57127,,,21205,203368,169359,149484,108156.0,122806,85242,184704,,,213345,114283.0,193488.0,lose,2019/20
Southampton,Chelsea,107265,80447,40146,213482,171771.0,,78056,101178,132015,,,20452,84939.0,83283.0,109745,82263,194794,103192,41328.0,85955,116594,184341,,,47431,173879.0,209046.0,lose,2019/20
Watford,Sheffield United,9089,52940,41945,41338,40868.0,85624.0,43250,121599,61566,,,73426,50175.0,,172649,146610,40386,108416,,82691,63426,47247,153723.0,79934.0,169432,171975.0,,draw,2019/20
West Ham United,Crystal Palace,40694,55459,40669,219924,81012.0,,56377,101537,86934,18073.0,204480.0,103123,,,40836,19419,55494,74230,58786.0,55037,82403,86417,50471.0,50472.0,80146,,,lose,2019/20
Aston Villa,Brighton and Hove Albion,21205,203368,169359,149484,108156.0,,122806,85242,184704,,,213345,114283.0,193488.0,131897,110735,83299,86153,78916.0,40845,60307,74471,66242.0,,115382,233425.0,,win,2019/20
Bournemouth,Norwich City,225321,56917,126184,54469,171129.0,,155408,153682,90105,168991.0,,154566,75115.0,,20480,232980,198826,194799,128348.0,87396,193111,195546,78607.0,18665.0,57127,,,draw,2019/20
