home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home/name,away/name,home_result,season
60706.0,97032.0,122798.0,60914.0,169187.0,,116643.0,41733.0,56979.0,,,92217.0,110979.0,118748.0,80201.0,39476.0,154043.0,38411.0,41270.0,182539.0,200089.0,242166.0,84450.0,,54694.0,195735.0,,Liverpool,Arsenal,win,2019/20
21205.0,203368.0,47390.0,149484.0,108156.0,,230046.0,122806.0,114283.0,148508.0,89274.0,213345.0,,,111234.0,106611.0,101188.0,164511.0,59949.0,212319.0,55422.0,42774.0,100649.0,120250.0,177815.0,,,Aston Villa,Everton,win,2019/20
51940.0,184667.0,95658.0,106760.0,214590.0,,74208.0,176297.0,109322.0,200617.0,195851.0,148225.0,,,40836.0,19419.0,55494.0,74230.0,58786.0,66975.0,55037.0,82403.0,86417.0,50471.0,80146.0,,,Manchester United,Crystal Palace,lose,2019/20
20480.0,232980.0,198826.0,83428.0,194799.0,,87396.0,193111.0,195546.0,71738.0,90440.0,57127.0,,,109745.0,135363.0,103192.0,41328.0,109533.0,85955.0,91651.0,88894.0,,,176413.0,173879.0,184341.0,Norwich City,Chelsea,lose,2019/20
172649.0,146610.0,40386.0,108416.0,,,82691.0,63426.0,153723.0,49083.0,79934.0,171975.0,27436.0,,17745.0,218031.0,37642.0,111931.0,37402.0,166989.0,106837.0,197469.0,,,101668.0,172780.0,168580.0,Sheffield United,Leicester City,lose,2019/20
9089.0,60232.0,41338.0,54484.0,40868.0,,43250.0,121599.0,108413.0,38439.0,,94924.0,73426.0,,37096.0,40669.0,219924.0,81012.0,105717.0,56377.0,101537.0,86934.0,18073.0,204480.0,103123.0,,,Watford,West Ham United,lose,2019/20
38533.0,41727.0,90585.0,94147.0,,,87835.0,171317.0,222531.0,114128.0,19624.0,102057.0,194634.0,,98747.0,68983.0,17761.0,51927.0,39487.0,40145.0,60586.0,433154.0,60551.0,,60689.0,44699.0,,Wolverhampton Wanderers,Burnley,draw,2019/20
80201.0,39476.0,154043.0,41270.0,111457.0,,198849.0,242166.0,84450.0,,,59966.0,54694.0,195735.0,37915.0,38290.0,55605.0,39194.0,173904.0,157668.0,62974.0,45268.0,80607.0,,85971.0,78830.0,,Arsenal,Tottenham Hotspur,draw,2019/20
98747.0,68983.0,17761.0,51927.0,39487.0,,40145.0,433154.0,60551.0,17349.0,,60689.0,44699.0,,60706.0,97032.0,122798.0,60914.0,169187.0,116643.0,41733.0,56979.0,,,92217.0,110979.0,118748.0,Burnley,Liverpool,lose,2019/20
109745.0,194794.0,103192.0,41328.0,109533.0,,85955.0,88894.0,91651.0,,,176413.0,184341.0,173879.0,172649.0,146610.0,40386.0,108416.0,,82691.0,63426.0,153723.0,49083.0,79934.0,169432.0,171975.0,,Chelsea,Sheffield United,draw,2019/20
40836.0,19419.0,55494.0,74230.0,58786.0,,66975.0,55037.0,50471.0,,,80146.0,82403.0,86417.0,21205.0,203368.0,47390.0,149484.0,108156.0,230046.0,122806.0,114283.0,,,213345.0,148508.0,89274.0,Crystal Palace,Aston Villa,win,2019/20
111234.0,106611.0,101188.0,164511.0,59949.0,,212319.0,41823.0,55422.0,153133.0,120250.0,242058.0,,,38533.0,41727.0,90585.0,94147.0,,171317.0,107613.0,216054.0,151589.0,159533.0,102057.0,209353.0,,Everton,Wolverhampton Wanderers,win,2019/20
17745.0,172850.0,218031.0,37642.0,111931.0,,201666.0,166989.0,172780.0,51938.0,203341.0,101668.0,,,225321.0,56917.0,126184.0,223911.0,54469.0,152551.0,153682.0,90105.0,168991.0,,75115.0,78007.0,,Leicester City,Bournemouth,win,2019/20
