id,name,season,defence_clean sheets,defence_goals conceded,defence_tackles,defence_tackle success %,defence_last man tackles,defence_blocked shots,defence_interceptions,defence_clearances,defence_headed clearance,defence_clearances off line,defence_recoveries,defence_duels won,defence_duels lost,defence_successful 50/50s,defence_aerial battles won,defence_aerial battles lost,defence_own goals,defence_errors leading to goal,teamplay_goals,teamplay_assists,teamplay_passes,teamplay_passes per match,teamplay_big chances created,teamplay_crosses,teamplay_cross accuracy %,teamplay_through balls,teamplay_accurate long balls,discipline_yellow cards,discipline_red cards,discipline_fouls,discipline_offsides,attack_goals,attack_goals per match,attack_headed goals,attack_goals with right foot,attack_goals with left foot,attack_penalties scored,attack_freekicks scored,attack_shots,attack_shots on target,attack_shooting accuracy %,attack_hit woodwork,attack_big chances missed,goalkeeping_saves,goalkeeping_penalties saved,goalkeeping_punches,goalkeeping_high claims,goalkeeping_catches,goalkeeping_sweeper clearances,goalkeeping_throw outs,goalkeeping_goal kicks
p122798,Andrew Robertson,2021/22,16,20,36,58,0,4,23,51,23,1,180,84,73,13,26,14,0,0,0,10,"1,928",66.48,9,195,23,3,59,5,1,19,4,3,0.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p38290,Danny Rose,2020/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p86153,Martín Montoya,2018/19,3,41,58,60,0,3,48,63,24,0,98,108,98,12,24,27,0,0,0,1,858,34.32,1,36,44,1,38,4,0,29,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
p209037,Zech Medley,2020/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p481626,Christian Marques,2020/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p160987,Jean-Philippe Gbamin,2021/22,0,0,1,100,0,0,1,1,1,0,4,5,5,2,1,0,0,0,0,0,22,7.33,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p206915,Curtis Jones,2019/20,0,0,4,100,0,1,2,0,0,0,14,9,12,3,2,3,0,0,0,0,123,20.5,0,0,0,0,3,0,0,3,0,1,0.17,0,1,0,0,0,6,2,33,0,0,0,0,0,0,0,0,0,0
p168301,Erik Palmer-Brown,2020/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p19419,Gary Cahill,2021/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p87835,Matt Doherty,2019/20,12,31,55,53,1,9,40,47,30,0,160,233,169,28,133,97,0,0,0,3,"1,476",41.0,2,45,16,1,47,1,0,28,3,4,0.0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
