home/name,away/name,home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home_result,season
Wolverhampton Wanderers,Burnley,38533,94147,41727,90585,-1,-1,171317,222531,19624,114128,87835,102057,194634,-1,98747,51927,68983,17761,39487,60586,433154,40145,60551,-1,60689,44699,-1,draw,2019/20
Arsenal,Tottenham Hotspur,80201,154043,39476,41270,111457,-1,242166,84450,198849,-1,-1,195735,59966,54694,37915,55605,39194,173904,38290,62974,45268,80607,157668,-1,85971,78830,-1,draw,2019/20
Burnley,Liverpool,98747,51927,68983,17761,39487,-1,433154,40145,60551,17349,-1,60689,44699,-1,60706,60914,122798,169187,97032,41733,56979,116643,-1,-1,110979,118748,92217,lose,2019/20
Chelsea,Sheffield United,109745,109533,41328,194794,103192,-1,85955,91651,88894,-1,-1,184341,176413,173879,172649,146610,40386,108416,-1,82691,63426,153723,49083,79934,169432,171975,-1,draw,2019/20
Crystal Palace,Aston Villa,40836,55494,19419,74230,58786,-1,55037,50471,66975,-1,-1,82403,80146,86417,21205,47390,149484,203368,108156,114283,122806,230046,-1,-1,213345,148508,89274,win,2019/20
Everton,Wolverhampton Wanderers,111234,164511,106611,101188,59949,-1,212319,153133,120250,41823,55422,242058,-1,-1,38533,94147,41727,90585,-1,107613,159533,151589,216054,171317,102057,209353,-1,win,2019/20
Leicester City,Bournemouth,17745,218031,111931,37642,172850,-1,166989,172780,201666,203341,51938,101668,-1,-1,225321,126184,56917,54469,223911,168991,153682,152551,90105,-1,75115,78007,-1,win,2019/20
Manchester City,Brighton and Hove Albion,121160,58621,206325,146941,57410,-1,61366,220566,20664,-1,-1,103955,103025,37572,131897,83299,110735,78916,-1,40845,86153,66242,209362,-1,115382,116216,109345,win,2019/20
Newcastle United,Watford,67089,101148,106618,119471,111773,92159,104953,153127,180135,179018,-1,180974,-1,-1,9089,60232,41338,85624,-1,43250,121599,52940,54484,-1,108413,73426,61566,draw,2019/20
Southampton,Manchester United,107265,93100,171771,58822,135720,-1,128198,78056,132015,101178,-1,84939,200439,-1,51940,18892,184667,214590,95658,200617,195851,43670,74208,156689,176297,-1,-1,draw,2019/20
